"carat","cut","color","clarity","depth","table","price","x","y","z"
0.41,"Premium","E","SI1",61,59,755,4.78,4.82,2.93
0.54,"Ideal","H","IF",60.3,55,2210,5.29,5.33,3.2
0.33,"Ideal","H","VVS2",61.3,56,827,4.43,4.47,2.73
1.04,"Fair","G","SI2",66.1,60,3564,6.32,6.23,4.15
2.02,"Premium","J","VS2",61.1,58,12832,8.04,8.1,4.93
1.01,"Good","E","SI2",63.3,58,4355,6.37,6.39,4.04
0.33,"Ideal","G","VS1",61.7,56,854,4.47,4.44,2.75
0.7,"Premium","F","SI1",62.4,56,2596,5.69,5.63,3.53
0.34,"Premium","G","VS2",61.8,58,765,4.5,4.47,2.77
0.58,"Ideal","E","VS1",60.8,57,2359,5.42,5.41,3.29
0.56,"Premium","E","VS2",61.4,61,1915,5.31,5.28,3.25
0.31,"Premium","D","SI2",62.7,59,593,4.35,4.3,2.71
1.21,"Premium","H","SI2",60,60,5285,6.96,6.91,4.16
0.72,"Ideal","F","VS1",62.4,56,3084,5.76,5.72,3.58
0.48,"Very Good","F","VS2",62.6,55,1311,5,5.07,3.15
1.53,"Very Good","I","SI1",63.3,58,7971,7.26,7.31,4.61
0.32,"Premium","G","VS1",61.4,58,645,4.36,4.4,2.69
0.91,"Good","D","SI1",64,59,3357,6.13,6.02,3.89
0.7,"Very Good","E","VS1",61.3,56,2967,5.68,5.71,3.49
0.53,"Ideal","F","SI1",62.9,57,1363,5.18,5.15,3.25
0.75,"Very Good","F","VS1",60.9,59,3220,5.83,5.87,3.56
1.01,"Very Good","I","SI2",62.2,59,5000,6.36,6.41,3.97
0.4,"Very Good","E","VVS1",62.9,56,1191,4.67,4.71,2.95
1.01,"Premium","G","SI2",59.1,59,4242,6.55,6.51,3.86
0.81,"Ideal","G","VVS2",61.7,55.1,4127,5.97,6.04,3.71
1.17,"Ideal","G","VVS1",61.9,56,9799,6.73,6.78,4.18
0.5,"Premium","F","SI1",60.1,59,1332,5.17,5.14,3.1
0.98,"Good","H","SI2",57.9,56,2898,6.51,6.47,3.76
0.9,"Very Good","E","SI1",59.8,55,4463,6.3,6.34,3.78
0.3,"Ideal","H","VVS2",61.5,57,605,4.31,4.34,2.66
1.29,"Premium","G","VS2",58.7,58,8842,7.27,7.11,4.22
0.31,"Ideal","F","VS2",60.8,57,802,4.39,4.36,2.66
1.01,"Very Good","G","VVS2",63.3,57,7885,6.31,6.36,4.01
0.72,"Premium","G","VS2",61.4,57,2550,5.83,5.77,3.56
0.39,"Premium","J","VVS1",61.8,56,921,4.71,4.64,2.89
0.33,"Premium","D","VS2",61.2,58,1002,4.44,4.41,2.71
0.51,"Ideal","D","IF",62.1,55,3446,5.12,5.13,3.19
2,"Premium","I","SI2",60,58,10976,8.23,8.17,4.92
0.31,"Ideal","D","SI1",61.5,56,732,4.35,4.33,2.67
1.51,"Fair","H","SI2",64.5,59,6291,7.21,7.15,4.63
0.24,"Ideal","F","VVS2",62.4,55,526,3.99,4.02,2.5
0.71,"Premium","I","VVS1",62,58,2549,5.65,5.7,3.52
1.09,"Ideal","H","SI1",62.1,55,5376,6.6,6.64,4.11
0.51,"Ideal","D","VS2",61.7,55,1787,5.11,5.14,3.16
1,"Good","F","SI2",59.8,65,3858,6.58,6.43,3.9
1,"Premium","F","SI1",60.7,60,5197,6.36,6.4,3.87
1.78,"Ideal","H","SI1",62.1,57,12843,7.77,7.73,4.81
0.39,"Ideal","E","VS1",60.2,56,876,4.78,4.79,2.88
1,"Good","D","VS1",62.7,62,7672,6.21,6.23,3.9
0.74,"Ideal","G","SI2",61.7,56,2690,5.8,5.87,3.6
0.31,"Very Good","G","VVS2",62.9,58,707,4.28,4.3,2.7
0.32,"Very Good","H","SI2",61.8,55,403,4.35,4.42,2.71
0.72,"Good","J","VS1",63.7,54,2062,5.71,5.68,3.63
0.43,"Premium","E","SI1",62.4,56,1016,4.83,4.79,3
0.3,"Ideal","G","VVS1",61.3,56,789,4.3,4.34,2.65
0.4,"Very Good","D","VS2",63.6,55,850,4.68,4.72,2.99
0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51
0.54,"Very Good","G","VS1",61.6,54,1665,5.26,5.3,3.25
0.55,"Ideal","G","VS1",60.9,56,1591,5.29,5.35,3.24
0.6,"Ideal","I","SI1",60.7,58,1295,5.43,5.45,3.3
0.53,"Premium","D","VS2",62.4,59,1783,5.14,5.18,3.22
0.26,"Premium","E","VS1",61.9,58,580,4.11,4.1,2.54
0.31,"Very Good","H","VS2",58.9,61,457,4.43,4.46,2.62
0.55,"Ideal","E","SI1",61.7,56,1551,5.24,5.29,3.25
0.32,"Ideal","I","VS2",62.9,57,576,4.4,4.37,2.76
0.61,"Very Good","G","VVS2",62.4,55,2403,5.44,5.47,3.4
0.71,"Premium","F","VS1",60.1,62,2790,5.77,5.74,3.46
0.52,"Ideal","I","SI1",61.8,56,1075,5.15,5.18,3.19
1.61,"Very Good","E","SI1",62.3,57,13047,7.43,7.47,4.64
1.01,"Very Good","E","VS2",60.4,58,6522,6.47,6.6,3.95
0.72,"Ideal","E","SI1",61.2,56,2666,5.79,5.75,3.53
0.3,"Ideal","G","SI2",61.9,57,422,4.28,4.31,2.66
1.06,"Very Good","I","SI1",62.8,56,4255,6.47,6.52,4.08
0.32,"Very Good","D","SI1",58.9,60,589,4.47,4.49,2.64
1.03,"Very Good","H","SI1",63.5,53,4573,6.43,6.46,4.09
0.42,"Ideal","F","VVS2",62.2,56,1221,4.82,4.79,2.99
0.3,"Ideal","G","VS2",61.2,55,545,4.35,4.38,2.67
1.37,"Ideal","G","VVS1",62.6,55,12342,7.07,7.12,4.44
0.3,"Premium","D","VS1",59.4,60,848,4.38,4.34,2.59
0.37,"Premium","D","VS2",61,59,1124,4.63,4.59,2.81
0.84,"Very Good","G","VS2",61.8,57,3596,6.04,6.07,3.74
0.61,"Ideal","G","VS1",62.6,55,2309,5.46,5.43,3.41
1.01,"Good","D","SI1",63.8,58,5443,6.34,6.38,4.06
0.36,"Ideal","G","VS2",60.6,56,664,4.62,4.67,2.81
0.52,"Premium","E","VS1",61.7,58,1819,5.17,5.11,3.17
0.5,"Ideal","I","VS2",62.5,55,1244,5.05,5.09,3.17
1.06,"Very Good","G","I1",60.7,63,2080,6.59,6.56,3.99
0.77,"Premium","F","VS2",62.4,59,3018,5.85,5.81,3.64
0.36,"Good","E","SI2",63.7,54,648,4.55,4.52,2.89
0.31,"Premium","H","VS2",62.2,58,489,4.31,4.34,2.69
1.5,"Premium","H","VS2",61.2,61,10478,7.32,7.25,4.46
0.41,"Premium","G","VS2",62.6,59,827,4.73,4.76,2.97
0.3,"Good","H","VS2",63.5,59,473,4.2,4.27,2.69
0.29,"Very Good","E","VS1",61.8,59,504,4.21,4.27,2.62
0.32,"Premium","D","SI1",60.4,58,589,4.44,4.47,2.69
0.5,"Good","G","VVS2",61.2,63.3,1690,5.06,5.08,3.1
0.4,"Premium","F","SI2",59.6,58,864,4.85,4.81,2.88
0.33,"Ideal","E","VVS2",60.9,56,814,4.45,4.48,2.72
1,"Very Good","I","SI1",63.3,58,4200,6.34,6.3,4
0.7,"Ideal","E","SI1",60.6,57,2614,5.76,5.79,3.5
0.52,"Very Good","E","SI2",61.1,57,1146,5.2,5.24,3.19
1.02,"Premium","G","VS2",61.5,59,5346,6.45,6.4,3.95
0.43,"Ideal","G","SI1",61.3,55,917,4.88,4.9,3
0.4,"Ideal","J","VVS1",62.4,54,704,4.73,4.75,2.96
0.55,"Very Good","G","VS2",61.6,56,1563,5.26,5.3,3.25
0.63,"Premium","F","SI1",59.1,57,1736,5.64,5.6,3.32
0.3,"Very Good","D","SI2",63.2,57,574,4.24,4.21,2.67
0.55,"Very Good","F","SI1",63.6,57,1271,5.17,5.21,3.3
1.05,"Very Good","G","VS2",60.1,55,6028,6.65,6.73,4.02
1.51,"Premium","F","VS2",61.9,60,12202,7.29,7.25,4.5
0.24,"Very Good","D","VVS2",61.9,58,478,4.02,4.03,2.49
0.41,"Premium","G","VS1",61.5,58,961,4.8,4.76,2.94
1.18,"Very Good","E","SI2",62.5,60,5088,6.7,6.74,4.2
0.31,"Premium","I","SI1",61.3,58,408,4.34,4.37,2.67
0.32,"Very Good","H","VVS2",63.4,56,828,4.37,4.34,2.76
0.74,"Very Good","I","SI1",63.8,58,2352,5.72,5.76,3.66
1.02,"Ideal","F","VVS1",62.4,56,9645,6.44,6.42,4.01
0.47,"Ideal","I","VS2",62.1,54,884,4.99,5.03,3.11
1.63,"Ideal","D","SI2",59.4,59,10281,7.73,7.67,4.57
0.34,"Ideal","F","SI2",60.1,56,447,4.54,4.55,2.73
0.4,"Very Good","F","VS1",60.4,58,868,4.75,4.79,2.88
0.5,"Good","F","SI2",63.5,58,997,4.98,5.03,3.18
0.56,"Premium","F","VS1",58.2,60,2016,5.41,5.38,3.14
0.31,"Very Good","E","SI1",63.3,55,698,4.35,4.31,2.74
0.75,"Premium","H","VS1",61.9,61,2961,5.85,5.82,3.61
0.36,"Ideal","G","VS1",61.1,55,746,4.63,4.66,2.84
0.23,"Very Good","E","VVS2",61.4,60,505,3.93,3.98,2.43
0.7,"Good","E","SI1",59.8,64,2079,5.75,5.69,3.42
0.77,"Very Good","H","VS1",63.3,57,2927,5.79,5.83,3.68
0.5,"Ideal","F","VVS2",62.2,54,2160,5.11,5.09,3.17
0.44,"Good","D","VS2",60.6,64,1238,4.97,4.89,2.99
0.45,"Ideal","I","VS2",61.7,59,1013,4.96,4.91,3.04
0.41,"Ideal","H","VVS2",62.5,56,899,4.74,4.77,2.97
1.01,"Premium","D","SI1",62,60,6066,6.37,6.4,3.96
1.17,"Ideal","G","SI2",62.6,55,5743,6.74,6.78,4.23
0.72,"Very Good","E","SI1",62,57,2562,5.73,5.76,3.56
1.1,"Very Good","I","SI2",60.5,59,4202,6.65,6.71,4.04
2.04,"Ideal","H","SI2",62,56,16319,8.18,8.23,5.09
0.33,"Good","H","VS2",63.8,55,521,4.4,4.44,2.82
1.04,"Premium","G","SI2",60.9,58,4277,6.58,6.52,3.99
0.9,"Very Good","F","VS2",61.7,57,4493,6.17,6.21,3.82
0.29,"Very Good","G","VVS2",60.2,59,541,4.27,4.3,2.58
0.76,"Good","E","SI1",63.7,54,2789,5.76,5.85,3.7
0.53,"Premium","D","VS2",59.9,58,1825,5.29,5.26,3.16
1.23,"Very Good","H","VS2",58.5,62,6039,6.98,7,4.09
2,"Very Good","E","SI2",59.5,58,16462,8.17,8.27,4.89
1.3,"Premium","E","SI2",61.5,59,5751,7.05,7,4.32
0.5,"Very Good","H","SI1",63.5,56,1089,5.01,5.04,3.19
1.54,"Premium","H","SI1",62.2,58,10466,7.45,7.32,4.59
0.41,"Ideal","G","VVS1",62,56,1230,4.8,4.78,2.97
1.4,"Very Good","J","SI1",63.5,58,6145,7.05,7.09,4.49
1,"Ideal","D","SI1",60.5,57,5775,6.48,6.52,3.93
0.31,"Premium","E","VS1",60.5,59,734,4.36,4.37,2.64
0.41,"Ideal","G","VVS1",62.1,55,1230,4.79,4.74,2.96
0.3,"Ideal","F","VVS1",62.2,53,857,4.3,4.32,2.68
1.85,"Ideal","I","VVS2",62.4,57,14245,7.91,7.86,4.92
0.26,"Very Good","G","VVS1",61.8,57,545,4.06,4.1,2.52
1.63,"Very Good","H","VVS1",59.1,58,13211,7.68,7.84,4.59
0.71,"Premium","D","VS1",59.2,59,3718,5.9,5.85,3.48
0.31,"Premium","D","VS1",59.7,58,1011,4.45,4.4,2.64
0.71,"Ideal","E","SI1",59.9,56,2704,5.86,5.8,3.49
0.3,"Premium","E","VS1",61.3,59,911,4.33,4.28,2.64
0.58,"Ideal","G","IF",61.3,56,2528,5.36,5.39,3.29
0.53,"Very Good","F","SI1",61.7,55,1370,5.22,5.24,3.23
0.39,"Premium","I","VVS1",61.5,59,1053,4.7,4.67,2.88
0.5,"Good","D","VVS2",57.8,62,2065,5.23,5.28,3.04
0.37,"Premium","F","SI1",60.3,58,791,4.66,4.62,2.8
0.9,"Very Good","H","VS2",63,61,3878,6.05,6.14,3.84
0.27,"Premium","E","VS1",60.2,59,470,4.2,4.24,2.54
0.4,"Very Good","G","SI1",63.1,56,840,4.75,4.72,2.99
0.36,"Ideal","H","SI1",61.9,55,556,4.57,4.59,2.83
1,"Premium","E","SI1",62.8,59,4805,6.4,6.3,3.99
0.32,"Ideal","D","VVS1",61.8,56,1067,4.39,4.41,2.72
0.32,"Good","D","SI1",63.8,56,589,4.33,4.35,2.77
1.2,"Very Good","H","SI1",62.4,60,6199,6.75,6.71,4.2
0.27,"Very Good","E","VVS2",61.2,60,606,4.16,4.17,2.55
0.75,"Ideal","D","VS2",61.1,55,3679,5.87,5.89,3.6
0.6,"Ideal","G","VVS2",61.4,59,2313,5.37,5.41,3.31
0.51,"Ideal","D","VS2",62.3,57,1787,5.09,5.12,3.18
0.32,"Ideal","D","SI1",62.8,56,756,4.35,4.34,2.73
0.62,"Premium","E","VVS2",60.7,60,2727,5.51,5.43,3.32
1.5,"Ideal","E","SI1",62.6,56,10777,7.27,7.3,4.56
0.85,"Ideal","G","VS1",61.6,54,4164,6.08,6.12,3.76
0.65,"Ideal","H","VVS1",62.4,54,2177,5.55,5.57,3.47
0.43,"Ideal","I","VS2",61.8,55,716,4.85,4.89,3.01
0.41,"Ideal","E","VVS2",62.8,54,1243,4.77,4.72,2.98
0.33,"Premium","H","VS1",59,62,693,4.52,4.49,2.66
0.41,"Premium","F","VVS2",61.6,59,951,4.73,4.79,2.93
1.01,"Ideal","F","VS2",61.6,56,7229,6.48,6.45,3.98
0.72,"Ideal","G","VS2",61.9,58,2797,5.72,5.75,3.55
2.01,"Good","I","SI1",59.4,63,14597,8.18,8.26,4.88
0.61,"Very Good","I","VS2",62.4,57,1572,5.4,5.43,3.38
1.53,"Very Good","E","SI1",63.5,58,11406,7.35,7.29,4.65
0.48,"Premium","E","SI2",62.9,60,1005,4.93,4.9,3.09
0.57,"Ideal","D","VS2",61.7,56,2099,5.3,5.37,3.29
0.91,"Good","H","VS2",56.9,61,3302,6.41,6.24,3.6
0.5,"Very Good","E","VS2",63.2,57,1629,5.06,5.03,3.19
0.5,"Premium","F","SI1",59.6,60,1282,5.12,5.15,3.06
1.13,"Premium","H","VS2",60.6,58,5885,6.81,6.72,4.1
1.06,"Ideal","E","SI1",61.8,56,6114,6.59,6.52,4.05
1.6,"Ideal","F","SI2",61.7,56,10472,7.5,7.53,4.64
1,"Fair","E","SI2",64.6,54,3763,6.33,6.27,4.07
1.73,"Ideal","H","SI1",62.7,56,11688,7.62,7.67,4.79
0.71,"Good","F","SI1",64.3,57,2125,5.62,5.55,3.59
0.51,"Ideal","H","VVS1",61.4,55,1776,5.13,5.16,3.16
1.51,"Good","G","VS1",64,57,12319,7.31,7.2,4.64
0.45,"Very Good","H","VVS1",62.3,57,1274,4.9,4.93,3.06
0.53,"Ideal","F","SI2",61.7,56,1142,5.23,5.24,3.23
2.1,"Good","H","SI1",63.7,61,12121,8.1,8.07,5.15
0.38,"Ideal","G","VS1",61.5,57,794,4.66,4.71,2.88
0.3,"Good","I","VS1",63.3,59,473,4.2,4.23,2.67
1.31,"Ideal","F","VS1",61.9,54,10957,7.03,7.06,4.35
1.15,"Ideal","G","VVS1",60.6,56,9377,6.83,6.8,4.13
0.41,"Good","D","SI2",63.1,54,638,4.72,4.75,2.99
0.29,"Premium","F","SI1",62.4,58,518,4.26,4.24,2.65
0.32,"Very Good","G","VS1",62.4,58,645,4.35,4.4,2.73
1.51,"Premium","H","VS2",58.7,61,8630,7.51,7.45,4.39
0.32,"Ideal","E","IF",61.9,56,1170,4.42,4.4,2.73
0.24,"Ideal","F","VS1",62,56,536,3.99,3.94,2.46
0.7,"Ideal","G","VS1",61.1,56,3017,5.72,5.74,3.5
0.34,"Ideal","E","VVS2",60.9,56,838,4.52,4.54,2.76
0.92,"Very Good","G","SI1",62.5,60,3986,6.19,6.26,3.89
0.9,"Premium","I","VS1",60.7,58,3145,6.3,6.19,3.79
0.39,"Ideal","F","IF",61.9,57,1433,4.69,4.68,2.9
1.24,"Ideal","G","VVS2",61.1,56,11601,6.94,6.97,4.25
2.01,"Good","E","SI2",60,64,16582,8.09,8.17,4.88
0.7,"Premium","D","SI1",58.2,60,2705,5.79,5.75,3.36
0.74,"Ideal","G","SI1",61.9,55,3130,5.8,5.83,3.6
0.53,"Premium","F","VVS2",61.4,57,2290,5.22,5.2,3.2
1.43,"Very Good","H","SI1",62.8,58,8069,7.08,7.13,4.46
0.3,"Premium","D","VS2",60.9,58,911,4.35,4.32,2.64
1.01,"Good","F","VS2",63.1,60,6159,6.29,6.39,4
0.3,"Ideal","F","VVS1",62.2,56,814,4.27,4.31,2.67
0.31,"Premium","F","VS2",62.3,59,802,4.33,4.3,2.69
2.26,"Premium","H","SI2",61.1,57,13885,8.45,8.4,5.15
0.33,"Premium","G","VS2",59.3,61,743,4.51,4.49,2.67
0.9,"Very Good","I","VS2",60.7,59,3709,6.23,6.26,3.79
0.53,"Very Good","D","VVS1",61.2,55,3307,5.21,5.26,3.21
0.5,"Ideal","G","SI1",62.1,57,1153,5.05,5.09,3.15
0.56,"Ideal","E","VS2",60.9,56,1819,5.32,5.35,3.25
0.4,"Ideal","I","SI2",61,58,484,4.74,4.77,2.9
1.3,"Premium","I","VS2",60.3,60,5242,7.01,6.99,4.22
0.55,"Good","E","VS2",59.8,61,1695,5.29,5.32,3.17
0.31,"Premium","I","VS2",59.8,60,558,4.42,4.38,2.63
0.44,"Ideal","F","VVS2",60.9,55,1196,4.92,4.96,3.01
0.54,"Ideal","E","VVS2",61.6,56,2776,5.25,5.27,3.24
1.07,"Ideal","J","VS2",61.6,56.3,4602,6.55,6.59,4.04
0.3,"Ideal","H","VS1",62.5,56,675,4.27,4.24,2.66
1.5,"Very Good","D","SI1",63.1,57,11863,7.31,7.24,4.59
0.93,"Very Good","E","SI2",60.5,57,4325,6.32,6.37,3.84
1.05,"Ideal","F","VVS2",62.1,54,9092,6.52,6.55,4.06
1.57,"Premium","F","SI1",60.4,59,12112,7.57,7.54,4.56
0.9,"Good","G","SI2",63.8,56,3246,6.16,6.13,3.92
1.58,"Premium","G","VS1",62.1,59,12530,7.43,7.46,4.62
0.56,"Ideal","G","SI1",62.1,55,1417,5.29,5.33,3.3
0.59,"Ideal","D","VS2",61.7,56,2078,5.39,5.41,3.33
0.31,"Ideal","G","IF",62.1,54,891,4.38,4.41,2.73
0.3,"Ideal","G","VS2",62.3,56,526,4.27,4.3,2.67
0.64,"Ideal","G","SI1",61.6,55,1737,5.55,5.59,3.43
1.01,"Good","E","SI1",64.1,59,4399,6.31,6.35,4.06
0.4,"Ideal","D","VVS1",62.8,57,1279,4.65,4.68,2.93
0.7,"Premium","E","SI1",61.7,62,2592,5.68,5.64,3.49
2.37,"Ideal","H","SI2",62.1,55,16937,8.52,8.54,5.3
0.35,"Premium","G","VVS2",62.2,58,1024,4.54,4.49,2.81
0.28,"Very Good","E","VVS2",61.4,60,596,4.18,4.22,2.58
0.83,"Good","H","SI2",63.9,56,2316,5.93,5.99,3.81
0.51,"Very Good","D","SI1",63.5,55,1574,5.09,5.08,3.23
1.01,"Good","D","VS2",64.5,58,6449,6.27,6.31,4.06
2.26,"Very Good","H","SI2",63.2,58,13095,8.38,8.26,5.26
0.31,"Very Good","G","VS1",60.5,57,640,4.39,4.42,2.67
0.29,"Very Good","G","VS2",61.7,56,471,4.27,4.3,2.64
0.93,"Good","G","SI1",63.8,58,4452,6.09,6.14,3.9
1.06,"Premium","G","VS2",62.5,58,5543,6.52,6.47,4.06
0.3,"Premium","E","VVS2",61.3,59,1013,4.32,4.3,2.64
0.56,"Premium","E","VS2",61.1,59,1552,5.27,5.34,3.24
0.32,"Premium","G","VVS2",61.7,59,730,4.37,4.41,2.71
1.01,"Premium","H","SI2",59.4,62,3083,6.47,6.43,3.83
1.53,"Premium","J","IF",61.1,58,9596,7.45,7.41,4.54
0.5,"Good","F","VS1",58,61,1415,5.18,5.23,3.02
0.46,"Good","F","SI2",64,57,787,4.88,4.83,3.11
0.3,"Ideal","D","VS2",62.3,53.9,762,4.3,4.32,2.69
1.72,"Fair","F","SI1",64.8,58,13622,7.5,7.46,4.85
0.83,"Ideal","E","SI2",61,57,3143,6.06,6.13,3.72
0.42,"Premium","D","SI2",60.1,58,700,4.83,4.88,2.92
1.01,"Premium","E","VS2",62.7,57,6787,6.36,6.31,3.97
0.7,"Ideal","J","SI1",62.6,56,1937,5.66,5.68,3.55
0.36,"Premium","G","VS1",61.7,59,932,4.59,4.55,2.82
0.77,"Good","E","SI2",64.1,56,2005,5.84,5.77,3.72
1,"Fair","E","SI2",66.6,59,3136,6.07,6.01,4.02
0.3,"Ideal","G","IF",61.4,57,956,4.37,4.33,2.67
0.27,"Ideal","F","VS2",60.3,56,470,4.21,4.25,2.55
0.92,"Good","J","SI2",59,63,3070,6.3,6.35,3.73
0.4,"Good","G","SI2",60.6,55.8,672,4.76,4.82,2.91
1.16,"Ideal","H","SI1",62.2,55,5554,6.79,6.74,4.21
0.51,"Very Good","E","SI2",58.3,61.9,1180,5.19,5.2,3.04
0.72,"Good","F","SI1",64,61,2563,5.67,5.62,3.61
0.4,"Good","E","SI1",63.3,56,687,4.68,4.74,2.98
0.37,"Premium","F","VS2",60.6,58,957,4.67,4.63,2.82
0.3,"Ideal","H","VS1",62.7,55,526,4.25,4.3,2.68
0.63,"Premium","E","VVS2",62.1,57,2789,5.48,5.41,3.38
1.12,"Ideal","D","SI2",62.6,57,5456,6.61,6.65,4.15
0.3,"Ideal","G","VS1",61.1,56,524,4.35,4.36,2.66
0.3,"Ideal","E","VS1",61.7,57,710,4.28,4.31,2.65
0.42,"Ideal","G","VS2",62.1,56,1087,4.84,4.79,2.99
1.01,"Good","G","SI2",63.4,57,3852,6.32,6.37,4.02
0.58,"Ideal","H","VS1",61.1,57,1759,5.38,5.42,3.3
1.01,"Fair","E","SI2",60,60,3801,6.48,6.38,3.86
1.14,"Very Good","H","VS2",59.9,57,5053,6.78,6.81,4.07
1.01,"Good","H","VS2",64.3,58,4489,6.27,6.2,4.01
0.38,"Premium","J","SI1",61.3,59,658,4.68,4.62,2.85
0.33,"Ideal","E","VS2",62.1,57,723,4.41,4.44,2.75
0.36,"Ideal","D","SI2",62,56,537,4.56,4.6,2.84
1.54,"Premium","G","VS1",61.9,59,13733,7.37,7.34,4.55
1.09,"Ideal","F","SI1",62,56,5816,6.59,6.61,4.09
0.82,"Very Good","J","SI2",62,58,2175,5.93,5.98,3.69
0.71,"Premium","H","SI2",61.5,60,1826,5.72,5.7,3.51
0.3,"Premium","E","VS2",61.6,58,658,4.31,4.33,2.66
2.09,"Premium","J","SI1",62.2,59,13864,8.23,8.16,5.1
1,"Good","F","SI1",63.6,62,4586,6.3,6.24,3.99
0.33,"Ideal","H","VVS1",62.5,56,901,4.44,4.42,2.77
0.32,"Ideal","F","VS1",61,54,716,4.42,4.44,2.7
0.4,"Very Good","I","VVS1",60.8,58,849,4.75,4.83,2.91
1.21,"Ideal","G","VS2",61.9,55,7996,6.9,6.84,4.25
0.34,"Ideal","H","VS2",61.5,56,555,4.47,4.5,2.76
0.3,"Ideal","F","VS1",61.5,55,754,4.35,4.33,2.67
1.01,"Premium","J","SI2",62.5,62,3563,6.41,6.36,3.99
0.91,"Ideal","J","VS1",61.9,56,3863,6.19,6.22,3.85
1.27,"Very Good","I","I1",60.2,62,3665,7,7.05,4.23
1.04,"Premium","H","SI1",62.1,56,4316,6.48,6.41,4.01
1.52,"Ideal","H","I1",61.6,56,6793,7.75,7.73,4.77
1.17,"Ideal","H","SI1",61.1,57,6368,6.77,6.83,4.16
0.71,"Premium","F","VS1",58.6,62,3082,5.88,5.82,3.43
2.01,"Premium","I","SI2",63,59,9658,8.04,7.97,5.04
0.36,"Ideal","G","SI1",62.7,55,537,4.54,4.59,2.86
0.43,"Very Good","F","VS2",61.1,57,905,4.86,4.9,2.98
2.15,"Premium","G","SI2",61.2,58,11985,8.42,8.3,5.1
1.15,"Ideal","E","VVS1",60.9,56,12447,6.79,6.8,4.14
0.5,"Good","F","VS2",63.3,60,1395,4.99,5.03,3.17
0.51,"Premium","H","VVS2",60.8,61,1749,5.12,5.08,3.1
1.5,"Premium","F","VVS2",58.8,58,17203,7.51,7.43,4.39
0.43,"Very Good","E","VVS2",60.8,57,1245,4.89,4.92,2.98
2.04,"Premium","J","VS2",61.4,59,13600,8.14,8.04,4.97
0.31,"Ideal","H","SI1",61.1,56,464,4.35,4.39,2.67
0.51,"Ideal","E","VVS1",61.9,54,2720,5.11,5.17,3.18
0.5,"Very Good","D","SI2",58.5,60,1074,5.19,5.21,3.04
0.4,"Ideal","J","VS2",62.6,57,599,4.68,4.71,2.94
0.7,"Very Good","D","VS2",60.8,59,2928,5.67,5.71,3.46
0.3,"Ideal","H","SI1",61.3,58,450,4.3,4.34,2.65
0.27,"Ideal","G","VS2",61.4,55,459,4.19,4.21,2.58
1.63,"Ideal","H","VS2",61.3,56,12620,7.6,7.57,4.65
0.5,"Very Good","E","VS2",61.8,57,1547,5.05,5.11,3.14
1.71,"Ideal","E","SI2",61.9,57,11816,7.69,7.65,4.75
0.52,"Very Good","F","VS2",61.1,56,1591,5.21,5.24,3.19
0.34,"Ideal","E","SI1",62.9,56,765,4.48,4.45,2.81
0.79,"Premium","H","SI2",61.6,58,1998,5.98,5.94,3.67
0.83,"Premium","D","SI2",62.7,56,3078,6.01,5.98,3.76
0.7,"Ideal","G","VS2",60,57,2633,5.8,5.84,3.49
0.92,"Very Good","F","SI2",62.8,56,3873,6.19,6.23,3.9
0.3,"Ideal","F","VS2",62.1,53.3,601,4.3,4.32,2.68
1.41,"Very Good","H","SI1",62.6,59,8283,7.08,7.14,4.45
0.9,"Ideal","D","SI2",62.3,57,3871,6.17,6.23,3.86
0.4,"Ideal","J","VS1",60.4,56,641,4.77,4.8,2.89
0.73,"Ideal","G","VVS1",61.6,56,3913,5.76,5.79,3.56
0.51,"Ideal","G","VS1",61,55,1781,5.21,5.11,3.15
0.26,"Very Good","F","VS1",61.7,58,453,4.1,4.14,2.54
0.75,"Ideal","F","SI1",60.8,57,3610,5.87,5.9,3.58
1.55,"Ideal","D","VS2",62.5,55,17441,7.38,7.43,4.63
0.71,"Premium","F","SI2",62.1,60,2169,5.68,5.62,3.51
0.7,"Ideal","H","SI2",60.4,58,2285,5.82,5.77,3.5
1.05,"Ideal","G","VVS1",61.2,57,8931,6.54,6.57,4.01
0.53,"Ideal","I","VS1",62.3,56,1427,5.19,5.23,3.24
1.23,"Very Good","F","SI2",60.9,58,4661,6.93,6.96,4.23
0.91,"Very Good","I","VS2",61,57,3664,6.2,6.26,3.8
1.02,"Ideal","H","SI1",61.6,57,4540,6.43,6.5,3.98
1.01,"Very Good","F","VS1",62.6,56,8081,6.39,6.36,3.99
0.3,"Premium","H","VVS1",61.8,58,684,4.32,4.36,2.68
0.9,"Premium","H","VS2",60.4,59,4321,6.24,6.27,3.78
0.52,"Ideal","G","VS1",61.8,55,1815,5.21,5.17,3.21
1.05,"Ideal","G","VVS2",61.4,56,9555,6.54,6.59,4.03
0.54,"Ideal","H","VS2",60.1,57,1338,5.28,5.33,3.19
1.2,"Ideal","D","SI2",61.7,56,6740,6.88,6.81,4.22
1.2,"Very Good","F","SI1",61.9,58,6985,6.75,6.82,4.2
0.26,"Ideal","D","VVS2",62.5,56,599,4.08,4.11,2.56
0.41,"Very Good","H","VS2",63.4,58,943,4.77,4.66,2.99
0.9,"Premium","H","VS2",61.8,58,4155,6.12,6.17,3.8
0.9,"Very Good","I","SI1",63.3,59,3251,6.14,6.05,3.86
